-0.030221 0.138318 0.140387
0.0101045 0.0796746 0.105535
0.0159871 0.0915929 0.112486
-0.00988711 0.0828147 0.0738751
-0.0356768 0.107742 0.077025
0.00146773 0.0856508 0.0638035
0.0120484 0.103363 0.061786
0.00939616 0.085071 0.042128
-0.00170159 0.0882436 0.0314414
0.00497482 0.0951859 0.0425496
-0.0179571 0.0991559 0.0372332
-0.00240971 0.103169 0.0421132
0.00651268 0.115372 0.0435112
-6.58041e-05 0.0978314 0.0398693
0.00206798 0.0936642 0.0365157
0.00806238 0.105784 0.0467284
0.00212158 0.111894 0.0465475
0.00591843 0.0951291 0.0378308
0.00956124 0.112747 0.0462739
0.00130231 0.118824 0.0437741
-0.00651589 0.196929 0.0723727
0.00485906 0.179005 0.0701772
0.00104015 0.114252 0.0498088
